fecha,vistas,vistas_unicas,clones,clones_unicos
2026-08-06,0,0,0,0
2026-08-07,0,0,0,0
2026-08-08,0,0,0,0
2026-08-09,0,0,0,0
2026-08-10,0,0,0,0
2026-08-11,0,0,0,0
2026-08-12,0,0,0,0
2026-08-13,0,0,0,0
2026-08-14,0,0,0,0
2026-08-15,0,0,0,0
2026-08-16,0,0,0,0
2026-08-17,144,1,1131,224
2026-08-18,2,1,41,16
2026-08-19,8,6,32,19
2026-08-20,52,4,850,169
2026-08-21,54,5,718,159
2026-08-22,43,1,828,160
2026-08-23,17,3,731,141
2026-08-24,97,5,911,212
2026-08-25,8,5,613,140
2026-08-26,8,3,151,56
2026-08-27,3,2,11,10
